RR,CI,down,up,p_val,case_group,control_group,casecount,controlcount,blah
,,,,,,,,"No alcohol or tobbaco use disorders"
0.17,0.17 (0.15-0.20),0.15,0.20,,"259 (0.62%)","1,432 (3.42%)","41,905","GLP-1RA(+)Insulin(-)","Insulin(+)GLP-1RA(-)"
0.91,0.91 (0.84-0.99),0.84,0.99,,"1,106 (2.70%)","1,241 (3.03%)","40,910","GLP-1RA(+)Metformin(-)","Metformin(+)GLP-1RA(-)"
0.67,0.67 (0.63-0.71),0.63,0.71,,"1,907 (2.11%)","2,630 (2.91%)","90,983","GLP-1RA(+)DDP-4(-)","DPP-4(+)GLP-1RA(-)"
0.86,0.86 (0.79-0.94),0.79,0.94,,"1,048 (2.26%)","1,164 (2.51%)","46,475","GLP-1RA(+)SGLT2(-)","SGLT2(+)GLP-1RA(-)"
0.70,0.70 (0.66-0.74),0.66,0.74,,"1,791 (2.19%)","2,426 (2.96%)","81,938","GLP-1RA(+)SU(-)","SU(+)GLP-1RA(-)"
0.84,0.84 (0.77-0.91),0.77,0.91,,"1,134 (2.05%)","1,282 (2.32%)","55,352","GLP-1RA(+)TZD(-)","TZD(+)GLP-1RA(-)"
,,,,,,,,"Alcohol or tobbaco use disorders"
0.20,0.20 (0.14-0.28),0.14,0.28,,"43 (0.95%)","209 (4.63%)","4,515","GLP-1RA(+)Insulin(-)","Insulin(+)GLP-1RA(-)"
0.94,0.94 (0.79-1.11),0.79,1.11,,"263 (5.01%)","287 (5.46%)","5,253","GLP-1RA(+)Metformin(-)","Metformin(+)GLP-1RA(-)"
0.70,0.70 (0.62-0.79),0.62,0.79,,"465 (3.84%)","617 (5.09%)","12,126","GLP-1RA(+)DDP-4(-)","DPP-4(+)GLP-1RA(-)"
0.95,0.95 (0.80-1.11),0.80,1.11,,"288 (4.39%)","290 (4.42%)","6,566","GLP-1RA(+)SGLT2(-)","SGLT2(+)GLP-1RA(-)"
0.73,0.73 (0.64-0.82),0.64,0.82,,"436 (3.89%)","568 (5.07%)","11,206","GLP-1RA(+)SU(-)","SU(+)GLP-1RA(-)"
0.78,0.78 (0.66-0.92),0.66,0.92,,"256 (3.64%)","308 (4.38%)","7,032","GLP-1RA(+)TZD(-)","TZD(+)GLP-1RA(-)"
