RR,CI,down,up,p_val,case_group,control_group,casecount,controlcount,blah
,,,,,,,,"GLP-1RA(+)DRUG(+) vs DRUG(+)GLP-1RA(-)"
0.63,0.63 (0.60-0.67),0.60,0.67,,"2,704 (2.96%)","3,749 (4.10%)","91,421","GLP-1RA(+)Insulin(+)","Insulin(+)GLP-1RA(-)"
0.75,0.75 (0.70-0.81),0.70,0.81,,"1,505 (1.94%)","1,836 (2.36%)","77,794","GLP-1RA(+)Metformin(+)","Metformin(+)GLP-1RA(-)"
0.69,0.69 (0.61-0.77),0.61,0.77,,"563 (2.38%)","713 (3.02%)","23,646","GLP-1RA(+)DDP-4(+)","DPP-4(+)GLP-1RA(-)"
0.66,0.66 (0.60-0.73),0.60,0.73,,"806 (1.93%)","1,007 (2.42%)","41,689","GLP-1RA(+)SGLT2(+)","SGLT2(+)GLP-1RA(-)"
0.65,0.65 (0.60-0.71),0.60,0.71,,"962 (2.06%)","1,318 (2.83%)","46,620","GLP-1RA(+)SU(+)","SU(+)GLP-1RA(-)"
0.72,0.72 (0.62-0.84),0.62,0.84,,"301 (1.70%)","370 (2.08%)","17,763","GLP-1RA(+)TZD(+)","TZD(+)GLP-1RA(-)"
,,,,,,,,"GLP-1RA(+)DRUG(+) vs GLP-1RA(+)DRUG(-)"
3.22,3.22 (2.83-3.67),2.83,3.67,,"1,054 (2.34%)","291 (0.65%)","44,939","GLP-1RA(+)Insulin(+)","GLP-1RA(+)Insulin(-)"
0.86,0.86 (0.79-0.93),0.79,0.93,,"1,165 (2.61%)","1,202 (2.69%)","44,617","GLP-1RA(+)Metformin(+)","GLP-1RA(+)Metformin(-)"
1.06,1.06 (0.95-1.17),0.95,1.17,,"763 (2.38%)","673 (2.10%)","32,119","GLP-1RA(+)DDP-4(+)","GLP-1RA(+)DPP-4(-)"
0.76,0.76 (0.70-0.82),0.70,0.82,,"1,221 (2.04%)","1,413 (2.36%)","59,969","GLP-1RA(+)SGLT2(+)","GLP-1RA(+)SGLT2(-)"
0.90,0.90 (0.82-0.98),0.82,0.98,,"1,071 (2.17%)","1,092 (2.21%)","49,408","GLP-1RA(+)SU(+)","GLP-1RA(+)SU(-)"
0.80,0.80 (0.69-0.93),0.69,0.93,,"331 (1.72%)","388 (2.01%)","19,297","GLP-1RA(+)TZD(+)","GLP-1RA(+)TZD(-)"
