RR,CI,down,up,p_val,case_group,control_group,casecount,controlcount,blah
,,,,,,,,"GLP-1RA(+)DRUG(+) vs DRUG(+)GLP-1RA(-)"
0.79,0.79 (0.67-0.93),0.67,0.93,,"278 (0.30%)","307 (0.34%)","91,421","GLP-1RA(+)Insulin(+)","Insulin(+)GLP-1RA(-)"
0.80,0.80 (0.65-0.98),0.65,0.98,,"164 (0.21%)","189 (0.24%)","77,794","GLP-1RA(+)Metformin(+)","Metformin(+)GLP-1RA(-)"
0.81,0.81 (0.57-1.14),0.57,1.14,,"62 (0.26%)","66 (0.28%)","23,646","GLP-1RA(+)DDP-4(+)","DPP-4(+)GLP-1RA(-)"
0.77,0.77 (0.58-1.04),0.58,1.04,,"85 (0.20%)","88 (0.21%)","41,689","GLP-1RA(+)SGLT2(+)","SGLT2(+)GLP-1RA(-)"
0.83,0.83 (0.64-1.08),0.64,1.08,,"105 (0.23%)","112 (0.24%)","46,620","GLP-1RA(+)SU(+)","SU(+)GLP-1RA(-)"
0.77,0.77 (0.45-1.34),0.45,1.34,,"24 (0.14%)","27 (0.15%)","17,763","GLP-1RA(+)TZD(+)","TZD(+)GLP-1RA(-)"
,,,,,,,,"GLP-1RA(+)DRUG(+) vs GLP-1RA(+)DRUG(-)"
3.36,3.36 (2.22-5.10),2.22,5.10,,"108 (0.24%)","28 (0.06%)","44,939","GLP-1RA(+)Insulin(+)","GLP-1RA(+)Insulin(-)"
0.92,0.92 (0.72-1.17),0.72,1.17,,"132 (0.30%)","125 (0.28%)","44,617","GLP-1RA(+)Metformin(+)","GLP-1RA(+)Metformin(-)"
1.15,1.15 (0.81-1.63),0.81,1.63,,"72 (0.22%)","58 (0.18%)","32,119","GLP-1RA(+)DDP-4(+)","GLP-1RA(+)DPP-4(-)"
0.71,0.71 (0.56-0.91),0.56,0.91,,"113 (0.19%)","136 (0.23%)","59,969","GLP-1RA(+)SGLT2(+)","GLP-1RA(+)SGLT2(-)"
1.08,1.08 (0.82-1.42),0.82,1.42,,"112 (0.23%)","94 (0.19%)","49,408","GLP-1RA(+)SU(+)","GLP-1RA(+)SU(-)"
0.51,0.51 (0.31-0.83),0.31,0.83,,"25 (0.13%)","46 (0.24%)","19,297","GLP-1RA(+)TZD(+)","GLP-1RA(+)TZD(-)"
